תומכ תרתי,"ךיראת
עוציב",תיפסכ הרתי,סמ,הלמע,"םוכס
יוכיז/בויחל","עוציב רעש
הקסע",תומכ,"גוס
העונת",ריינ םש,"רפסמ
ריינ",העש,"םוי
ךרע"
299.65,09/01/25,153.10,0.00,0.00,0.00,366.30,16.20,ביד/פה,ביד/ MRK US,99028,,08/01/25
295.60,09/01/25,153.10,0.00,0.00,0.00,366.30,-4.05,חסמ/שמ,חסמ/ MRK US,99028,,08/01/25
29.60,09/01/25,153.10,0.00,0.00,0.00,100.00,-34.85,הכישמ,םילובקת סמ- 25,9992975,,09/01/25
-29.60,09/01/25,153.10,0.00,0.00,0.00,100.00,34.85,הדקפה,סמ ןגמ,9992983,,09/01/25
53.00,09/01/25,174.01,6.97,0.00,20.91,0.00,0.00,דנדביד,תועקשה לארה,585018,,09/01/25
346.60,12/01/25,174.01,0.00,0.00,0.00,366.50,51.00,ביד/פה,ביד/ MO US,99028,,10/01/25
333.85,12/01/25,174.01,0.00,0.00,0.00,366.50,-12.75,חסמ/שמ,חסמ/ MO US,99028,,10/01/25
340.45,16/01/25,174.01,0.00,0.00,0.00,362.10,6.60,ביד/פה,ביד/ OXY US,99028,,15/01/25
351.01,16/01/25,174.01,0.00,0.00,0.00,362.10,10.56,ביד/פה,ביד/ O US,99028,,15/01/25
349.36,16/01/25,174.01,0.00,0.00,0.00,362.10,-1.65,חסמ/שמ,חסמ/ OXY US,99028,,15/01/25
346.72,16/01/25,174.01,0.00,0.00,0.00,362.10,-2.64,חסמ/שמ,חסמ/ O US,99028,,15/01/25
341.72,16/01/25,174.01,0.00,0.00,0.00,362.10,-5.00,למע/שמ,"ח""טמ.ע OXY US",99028,,15/01/25
0.00,16/01/25,174.01,0.00,0.00,0.00,"5,263.00",-30.00,"ל""וח/מ",OCCIDENTAL(OXY),102376,,15/01/25
0.00,,174.01,0.00,0.00,0.00,0.00,"1,578.90",USD,"ח""טמב יוכיז",0,,
0.00,16/01/25,"1,174.01",0.00,0.00,"1,000.00",0.00,0.00,הרבעה,ואל לארשיל עב קנבל הדקפה,900,,15/01/25
"2,226.22",21/01/25,74.03,0.00,0.00,"1,099.98-",359.94,305.60,הינק,"ב""הרא רלוד",99028,,21/01/25
"2,221.22",22/01/25,74.03,0.00,0.00,0.00,358.30,-5.00,למע/שמ,"ח""טמ.ע ELF US",99028,,21/01/25
16.00,22/01/25,74.03,0.00,0.00,0.00,"11,961.00",16.00,"ל""וח/ק",ELF BEAUTY(ELF),60414729,,21/01/25
0.00,,74.03,0.00,0.00,0.00,0.00,"1,913.76",USD,"ח""טמב בויח",0,,
0.00,02/02/25,"5,074.03",0.00,0.00,"5,000.00",0.00,0.00,הרבעה,ואל לארשיל עב קנבל הדקפה,900,,30/01/25
314.14,02/02/25,"5,074.03",0.00,0.00,0.00,357.70,6.68,ביד/פה,ביד/ DELL US,99028,,31/01/25
312.47,02/02/25,"5,074.03",0.00,0.00,0.00,357.70,-1.67,חסמ/שמ,חסמ/ DELL US,99028,,31/01/25
0.00,04/02/25,"5,103.63",0.00,0.00,29.60,100.00,-29.60,הריכמ,םילובקת סמ- 25,9992975,,31/01/25
0.00,04/02/25,"5,074.03",0.00,0.00,29.60-,100.00,29.60,הינק,םלושש סמ,9992983,,31/01/25
